Date,Time,Pressure1,Temperature TOB1,h (cm),Q (m3/s)
07/05/2019,15:45:00,5.706,12.8,4.5,0.015
07/05/2019,15:50:00,5.773,12.6,4.6,0.016
07/05/2019,15:55:00,6.007,12.4,4.8,0.017
07/05/2019,16:00:00,5.618,12.2,4.4,0.014
07/05/2019,16:05:00,5.794,12,4.6,0.016
07/05/2019,16:10:00,5.733,12,4.5,0.015
07/05/2019,16:15:00,5.67,12.1,4.5,0.015
07/05/2019,16:20:00,6.058,12.4,4.9,0.018
07/05/2019,16:25:00,6.341,12.5,5.2,0.02
07/05/2019,16:30:00,5.526,12.6,4.3,0.014
07/05/2019,16:35:00,5.547,12.6,4.4,0.014
07/05/2019,16:40:00,5.925,12.4,4.7,0.017
07/05/2019,16:45:00,6.013,12.3,4.8,0.017
07/05/2019,16:50:00,6.183,12.1,5,0.019
07/05/2019,16:55:00,5.688,12,4.5,0.015
07/05/2019,17:00:00,5.779,11.9,4.6,0.016
07/05/2019,17:05:00,5.886,11.7,4.7,0.017
07/05/2019,17:10:00,5.827,11.6,4.6,0.016
07/05/2019,17:15:00,5.789,11.5,4.6,0.016
07/05/2019,17:20:00,5.751,11.4,4.6,0.016
07/05/2019,17:25:00,5.735,11.3,4.5,0.015
07/05/2019,17:30:00,5.7,11.2,4.5,0.015
07/05/2019,17:35:00,6.162,11,5,0.019
07/05/2019,17:40:00,5.833,10.9,4.6,0.016
07/05/2019,17:45:00,5.859,10.8,4.7,0.017
07/05/2019,17:50:00,5.593,10.7,4.4,0.014
07/05/2019,17:55:00,5.285,10.6,4.1,0.012
07/05/2019,18:00:00,5.5,10.5,4.3,0.014
07/05/2019,18:05:00,5.173,10.4,4,0.012
07/05/2019,18:10:00,5.592,10.3,4.4,0.014
07/05/2019,18:15:00,5.325,10.2,4.1,0.012
07/05/2019,18:20:00,5.662,10.1,4.5,0.015
07/05/2019,18:25:00,5.438,10,4.2,0.013
07/05/2019,18:30:00,5.716,9.9,4.5,0.015
07/05/2019,18:35:00,5.014,9.8,3.8,0.011
07/05/2019,18:40:00,5.538,9.7,4.3,0.014
07/05/2019,18:45:00,5.688,9.6,4.5,0.015
07/05/2019,18:50:00,5.589,9.5,4.4,0.014
07/05/2019,18:55:00,5.184,9.4,4,0.012
07/05/2019,19:00:00,5.543,9.2,4.4,0.014
07/05/2019,19:05:00,5.216,9.1,4,0.012
07/05/2019,19:10:00,5.346,9,4.2,0.013
07/05/2019,19:15:00,5.745,8.9,4.6,0.016
07/05/2019,19:20:00,5.459,8.8,4.3,0.014
07/05/2019,19:25:00,4.972,8.7,3.8,0.011
07/05/2019,19:30:00,5.249,8.6,4.1,0.012
07/05/2019,19:35:00,5.443,8.5,4.3,0.014
07/05/2019,19:40:00,5.035,8.3,3.8,0.011
07/05/2019,19:45:00,5.915,8.2,4.7,0.017
07/05/2019,19:50:00,5.964,8,4.8,0.017
07/05/2019,19:55:00,5.15,7.9,4,0.012
07/05/2019,20:00:00,5.077,7.7,3.9,0.011
07/05/2019,20:05:00,5.356,7.6,4.2,0.013
07/05/2019,20:10:00,5.24,7.4,4,0.012
07/05/2019,20:15:00,5.541,7.3,4.4,0.014
07/05/2019,20:20:00,5.569,7.1,4.4,0.014
07/05/2019,20:25:00,5.694,7,4.5,0.015
07/05/2019,20:30:00,5.182,6.8,4,0.012
07/05/2019,20:35:00,5.15,6.7,4,0.012
07/05/2019,20:40:00,5.492,6.6,4.3,0.014
07/05/2019,20:45:00,5.147,6.5,3.9,0.011
07/05/2019,20:50:00,5.344,6.3,4.2,0.013
07/05/2019,20:55:00,5.57,6.2,4.4,0.014
07/05/2019,21:00:00,4.812,6.1,3.6,0.01
07/05/2019,21:05:00,5.174,6,4,0.012
07/05/2019,21:10:00,5.162,5.8,4,0.012
07/05/2019,21:15:00,5.357,5.7,4.2,0.013
07/05/2019,21:20:00,5.075,5.6,3.9,0.011
07/05/2019,21:25:00,5.3,5.5,4.1,0.012
07/05/2019,21:30:00,5.102,5.4,3.9,0.011
07/05/2019,21:35:00,5.359,5.3,4.2,0.013
07/05/2019,21:40:00,5.01,5.2,3.8,0.011
07/05/2019,21:45:00,5.33,5.1,4.1,0.012
07/05/2019,21:50:00,5.158,5,4,0.012
07/05/2019,21:55:00,5.081,4.9,3.9,0.011
07/05/2019,22:00:00,5.441,4.9,4.2,0.013
07/05/2019,22:05:00,4.927,4.8,3.7,0.01
07/05/2019,22:10:00,5.41,4.8,4.2,0.013
07/05/2019,22:15:00,4.854,4.7,3.7,0.01
07/05/2019,22:20:00,5.278,4.6,4.1,0.012
07/05/2019,22:25:00,4.951,4.6,3.8,0.011
07/05/2019,22:30:00,5.06,4.6,3.9,0.011
07/05/2019,22:35:00,5.334,4.5,4.1,0.012
07/05/2019,22:40:00,5.296,4.4,4.1,0.012
07/05/2019,22:45:00,5.363,4.4,4.2,0.013
07/05/2019,22:50:00,5.289,4.4,4.1,0.012
07/05/2019,22:55:00,4.979,4.3,3.8,0.011
07/05/2019,23:00:00,5.396,4.3,4.2,0.013
07/05/2019,23:05:00,5.13,4.3,3.9,0.011
07/05/2019,23:10:00,4.822,4.2,3.6,0.01
07/05/2019,23:15:00,5.343,4.2,4.1,0.012
07/05/2019,23:20:00,5.35,4.2,4.2,0.013
07/05/2019,23:25:00,4.914,4.1,3.7,0.01
07/05/2019,23:30:00,5.415,4.1,4.2,0.013
07/05/2019,23:35:00,5.333,4.1,4.1,0.012
07/05/2019,23:40:00,5.086,4.1,3.9,0.011
07/05/2019,23:45:00,5.318,4.1,4.1,0.012
07/05/2019,23:50:00,5.361,4.1,4.2,0.013
07/05/2019,23:55:00,5.403,4.1,4.2,0.013
08/05/2019,00:00:00,4.944,4.1,3.7,0.01
08/05/2019,00:05:00,5.358,4.1,4.2,0.013
08/05/2019,00:10:00,5.191,4.1,4,0.012
08/05/2019,00:15:00,5.163,4.2,4,0.012
08/05/2019,00:20:00,5.201,4.2,4,0.012
08/05/2019,00:25:00,5.03,4.3,3.8,0.011
08/05/2019,00:30:00,5.192,4.3,4,0.012
08/05/2019,00:35:00,5.251,4.3,4.1,0.012
08/05/2019,00:40:00,5.06,4.4,3.9,0.011
08/05/2019,00:45:00,4.885,4.4,3.7,0.01
08/05/2019,00:50:00,5.422,4.5,4.2,0.013
08/05/2019,00:55:00,5.251,4.6,4.1,0.012
08/05/2019,01:00:00,5.264,4.6,4.1,0.012
08/05/2019,01:05:00,5.488,4.7,4.3,0.014
08/05/2019,01:10:00,5.42,4.8,4.2,0.013
08/05/2019,01:15:00,5.471,4.8,4.3,0.014
08/05/2019,01:20:00,5.254,4.9,4.1,0.012
08/05/2019,01:25:00,4.978,5,3.8,0.011
08/05/2019,01:30:00,5.137,5.1,3.9,0.011
08/05/2019,01:35:00,5.007,5.1,3.8,0.011
08/05/2019,01:40:00,4.856,5.2,3.7,0.01
08/05/2019,01:45:00,4.847,5.3,3.6,0.01
08/05/2019,01:50:00,5.444,5.3,4.3,0.014
08/05/2019,01:55:00,5.416,5.4,4.2,0.013
08/05/2019,02:00:00,4.787,5.5,3.6,0.01
08/05/2019,02:05:00,5.3,5.6,4.1,0.012
08/05/2019,02:10:00,5.087,5.6,3.9,0.011
08/05/2019,02:15:00,5.078,5.7,3.9,0.011
08/05/2019,02:20:00,5.24,5.7,4,0.012
08/05/2019,02:25:00,5.443,5.8,4.3,0.014
08/05/2019,02:30:00,5.168,5.8,4,0.012
08/05/2019,02:35:00,4.977,5.9,3.8,0.011
08/05/2019,02:40:00,5.098,5.9,3.9,0.011
08/05/2019,02:45:00,5.361,6,4.2,0.013
08/05/2019,02:50:00,5.233,6,4,0.012
08/05/2019,02:55:00,5.085,6.1,3.9,0.011
08/05/2019,03:00:00,4.98,6.1,3.8,0.011
08/05/2019,03:05:00,5.351,6.1,4.2,0.013
08/05/2019,03:10:00,5.118,6.2,3.9,0.011
08/05/2019,03:15:00,5.49,6.2,4.3,0.014
08/05/2019,03:20:00,4.949,6.2,3.7,0.01
08/05/2019,03:25:00,4.885,6.2,3.7,0.01
08/05/2019,03:30:00,4.906,6.2,3.7,0.01
08/05/2019,03:35:00,5.297,6.3,4.1,0.012
08/05/2019,03:40:00,4.965,6.3,3.8,0.011
08/05/2019,03:45:00,5.026,6.3,3.8,0.011
08/05/2019,03:50:00,4.735,6.3,3.5,0.009
08/05/2019,03:55:00,5.338,6.3,4.1,0.012
08/05/2019,04:00:00,5.252,6.3,4.1,0.012
08/05/2019,04:05:00,5.542,6.3,4.4,0.014
08/05/2019,04:10:00,5.624,6.3,4.4,0.014
08/05/2019,04:15:00,5.001,6.3,3.8,0.011
08/05/2019,04:20:00,4.896,6.3,3.7,0.01
08/05/2019,04:25:00,5.207,6.4,4,0.012
08/05/2019,04:30:00,4.956,6.4,3.8,0.011
08/05/2019,04:35:00,4.893,6.4,3.7,0.01
08/05/2019,04:40:00,4.58,6.4,3.4,0.008
08/05/2019,04:45:00,5.368,6.4,4.2,0.013
08/05/2019,04:50:00,4.828,6.4,3.6,0.01
08/05/2019,04:55:00,4.909,6.4,3.7,0.01
08/05/2019,05:00:00,4.722,6.4,3.5,0.009
08/05/2019,05:05:00,4.991,6.4,3.8,0.011
08/05/2019,05:10:00,5.052,6.5,3.9,0.011
08/05/2019,05:15:00,5.092,6.5,3.9,0.011
08/05/2019,05:20:00,4.945,6.5,3.7,0.01
08/05/2019,05:25:00,4.967,6.5,3.8,0.011
08/05/2019,05:30:00,5.257,6.5,4.1,0.012
08/05/2019,05:35:00,4.652,6.5,3.4,0.008
08/05/2019,05:40:00,5.379,6.5,4.2,0.013
08/05/2019,05:45:00,4.859,6.5,3.7,0.01
08/05/2019,05:50:00,4.856,6.6,3.7,0.01
08/05/2019,05:55:00,4.503,6.6,3.3,0.008
08/05/2019,06:00:00,5.084,6.6,3.9,0.011
08/05/2019,06:05:00,5.082,6.6,3.9,0.011
08/05/2019,06:10:00,4.811,6.6,3.6,0.01
08/05/2019,06:15:00,5.206,6.6,4,0.012
08/05/2019,06:20:00,4.872,6.6,3.7,0.01
08/05/2019,06:25:00,4.829,6.6,3.6,0.01
08/05/2019,06:30:00,4.953,6.6,3.8,0.011
08/05/2019,06:35:00,5.283,6.7,4.1,0.012
08/05/2019,06:40:00,5.386,6.7,4.2,0.013
08/05/2019,06:45:00,4.343,6.8,3.1,0.007
08/05/2019,06:50:00,4.754,6.8,3.5,0.009
08/05/2019,06:55:00,5.249,6.9,4.1,0.012
08/05/2019,07:00:00,5.015,7,3.8,0.011
08/05/2019,07:05:00,5.295,7,4.1,0.012
08/05/2019,07:10:00,4.977,7.2,3.8,0.011
08/05/2019,07:15:00,4.703,7.2,3.5,0.009
08/05/2019,07:20:00,5.029,7.3,3.8,0.011
08/05/2019,07:25:00,4.84,7.4,3.6,0.01
08/05/2019,07:30:00,5.251,7.4,4.1,0.012
08/05/2019,07:35:00,4.727,7.4,3.5,0.009
08/05/2019,07:40:00,4.934,7.5,3.7,0.01
08/05/2019,07:45:00,5.1,7.4,3.9,0.011
08/05/2019,07:50:00,5.119,7.4,3.9,0.011
08/05/2019,07:55:00,4.623,7.4,3.4,0.008
08/05/2019,08:00:00,4.749,7.4,3.5,0.009
08/05/2019,08:05:00,4.771,7.4,3.6,0.01
08/05/2019,08:10:00,5.227,7.4,4,0.012
08/05/2019,08:15:00,5.204,7.4,4,0.012
08/05/2019,08:20:00,4.912,7.5,3.7,0.01
08/05/2019,08:25:00,5.114,7.6,3.9,0.011
08/05/2019,08:30:00,5.456,7.7,4.3,0.014
08/05/2019,08:35:00,4.868,7.8,3.7,0.01
08/05/2019,08:40:00,4.944,7.9,3.7,0.01
08/05/2019,08:45:00,5.208,8,4,0.012
08/05/2019,08:50:00,5.184,8.1,4,0.012
08/05/2019,08:55:00,5.387,8.2,4.2,0.013
08/05/2019,09:00:00,5.171,8.2,4,0.012
08/05/2019,09:05:00,4.463,8.2,3.3,0.008
08/05/2019,09:10:00,4.771,8.3,3.6,0.01
08/05/2019,09:15:00,4.683,8.4,3.5,0.009
08/05/2019,09:20:00,4.8,8.5,3.6,0.01
08/05/2019,09:25:00,4.65,8.6,3.4,0.008
08/05/2019,09:30:00,5.078,8.7,3.9,0.011
08/05/2019,09:35:00,4.846,8.8,3.6,0.01
08/05/2019,09:40:00,5.321,8.8,4.1,0.012
08/05/2019,09:45:00,5.132,8.8,3.9,0.011
08/05/2019,09:50:00,4.965,8.8,3.8,0.011
08/05/2019,09:55:00,4.757,8.9,3.6,0.01
08/05/2019,10:00:00,4.733,8.9,3.5,0.009
08/05/2019,10:05:00,4.728,9,3.5,0.009
08/05/2019,10:10:00,4.66,9.1,3.5,0.009
08/05/2019,10:15:00,4.425,9.2,3.2,0.007
08/05/2019,10:20:00,5.334,9.3,4.1,0.012
08/05/2019,10:25:00,5.162,9.4,4,0.012
08/05/2019,10:30:00,4.99,9.5,3.8,0.011
08/05/2019,10:35:00,5.191,9.6,4,0.012
08/05/2019,10:40:00,4.959,9.7,3.8,0.011
08/05/2019,10:45:00,4.809,9.8,3.6,0.01
08/05/2019,10:50:00,4.558,9.8,3.3,0.008
08/05/2019,10:55:00,4.93,9.9,3.7,0.01
08/05/2019,11:00:00,4.782,9.9,3.6,0.01
08/05/2019,11:05:00,4.759,10,3.6,0.01
08/05/2019,11:10:00,4.818,10.1,3.6,0.01
08/05/2019,11:15:00,4.896,10.2,3.7,0.01
08/05/2019,11:20:00,5.244,10.3,4,0.012
08/05/2019,11:25:00,4.712,10.5,3.5,0.009
08/05/2019,11:30:00,4.956,10.6,3.8,0.011
08/05/2019,11:35:00,4.972,10.7,3.8,0.011
08/05/2019,11:40:00,5.218,10.8,4,0.012
08/05/2019,11:45:00,4.57,11,3.4,0.008
08/05/2019,11:50:00,4.564,11.2,3.4,0.008
08/05/2019,11:55:00,4.959,11.6,3.8,0.011
08/05/2019,12:00:00,4.821,12,3.6,0.01
08/05/2019,12:05:00,5.25,12.2,4.1,0.012
08/05/2019,12:10:00,4.957,12.2,3.8,0.011
08/05/2019,12:15:00,4.792,12.2,3.6,0.01
08/05/2019,12:20:00,4.582,12.4,3.4,0.008
08/05/2019,12:25:00,5.095,12.4,3.9,0.011
08/05/2019,12:30:00,4.911,12.4,3.7,0.01
08/05/2019,12:35:00,5.182,12.3,4,0.012
08/05/2019,12:40:00,5.184,12.2,4,0.012
08/05/2019,12:45:00,4.896,12.1,3.7,0.01
08/05/2019,12:50:00,4.504,12,3.3,0.008
08/05/2019,12:55:00,4.78,11.9,3.6,0.01
08/05/2019,13:00:00,4.825,11.8,3.6,0.01
08/05/2019,13:05:00,5.284,11.7,4.1,0.012
08/05/2019,13:10:00,4.623,11.6,3.4,0.008
08/05/2019,13:15:00,5.06,11.6,3.9,0.011
08/05/2019,13:20:00,4.853,11.6,3.7,0.01
08/05/2019,13:25:00,5.208,11.5,4,0.012
08/05/2019,13:30:00,4.774,11.5,3.6,0.01
08/05/2019,13:35:00,4.589,11.4,3.4,0.008
08/05/2019,13:40:00,4.592,11.3,3.4,0.008
08/05/2019,13:45:00,4.614,11.3,3.4,0.008
08/05/2019,13:50:00,4.679,11.3,3.5,0.009
08/05/2019,13:55:00,5.22,11.2,4,0.012
08/05/2019,14:00:00,4.451,11.2,3.2,0.007
08/05/2019,14:05:00,4.451,11.2,3.2,0.007
08/05/2019,14:10:00,4.804,11.2,3.6,0.01
08/05/2019,14:15:00,4.743,11.2,3.5,0.009
08/05/2019,14:20:00,4.639,11.2,3.4,0.008
08/05/2019,14:25:00,4.847,11.2,3.6,0.01
08/05/2019,14:30:00,4.515,11.2,3.3,0.008
08/05/2019,14:35:00,4.597,11.3,3.4,0.008
08/05/2019,14:40:00,4.886,11.3,3.7,0.01
08/05/2019,14:45:00,5.009,11.3,3.8,0.011
08/05/2019,14:50:00,4.905,11.3,3.7,0.01
08/05/2019,14:55:00,4.595,11.3,3.4,0.008
08/05/2019,15:00:00,4.595,11.3,3.4,0.008
08/05/2019,15:05:00,5.094,11.2,3.9,0.011
08/05/2019,15:10:00,4.847,11.2,3.6,0.01
08/05/2019,15:15:00,4.744,11.1,3.5,0.009
08/05/2019,15:20:00,4.416,11.1,3.2,0.007
08/05/2019,15:25:00,4.5,11,3.3,0.008
08/05/2019,15:30:00,4.793,11,3.6,0.01
08/05/2019,15:35:00,4.876,11,3.7,0.01
08/05/2019,15:40:00,5.232,10.9,4,0.012
08/05/2019,15:45:00,4.319,10.9,3.1,0.007
08/05/2019,15:50:00,4.593,10.8,3.4,0.008
08/05/2019,15:55:00,5.073,10.7,3.9,0.011
08/05/2019,16:00:00,4.909,10.7,3.7,0.01
08/05/2019,16:05:00,4.496,10.6,3.3,0.008
08/05/2019,16:10:00,4.956,10.5,3.8,0.011
08/05/2019,16:15:00,4.713,10.5,3.5,0.009
08/05/2019,16:20:00,4.756,10.4,3.6,0.01
08/05/2019,16:25:00,5.132,10.4,3.9,0.011
08/05/2019,16:30:00,4.656,10.3,3.4,0.008
08/05/2019,16:35:00,4.678,10.3,3.5,0.009
08/05/2019,16:40:00,4.827,10.2,3.6,0.01
08/05/2019,16:45:00,5.267,10.2,4.1,0.012
08/05/2019,16:50:00,4.646,10.1,3.4,0.008
08/05/2019,16:55:00,4.524,10,3.3,0.008
08/05/2019,17:00:00,4.547,10,3.3,0.008
08/05/2019,17:05:00,4.674,9.9,3.5,0.009
08/05/2019,17:10:00,4.635,9.9,3.4,0.008
08/05/2019,17:15:00,4.724,9.8,3.5,0.009
08/05/2019,17:20:00,4.728,9.7,3.5,0.009
08/05/2019,17:25:00,4.503,9.6,3.3,0.008
08/05/2019,17:30:00,5.213,9.5,4,0.012
08/05/2019,17:35:00,5.071,9.5,3.9,0.011
08/05/2019,17:40:00,4.494,9.4,3.3,0.008
08/05/2019,17:45:00,4.274,9.3,3.1,0.007
08/05/2019,17:50:00,4.86,9.2,3.7,0.01
08/05/2019,17:55:00,4.739,9.1,3.5,0.009
08/05/2019,18:00:00,4.639,9,3.4,0.008
08/05/2019,18:05:00,4.746,9,3.5,0.009
08/05/2019,18:10:00,4.853,8.9,3.7,0.01
08/05/2019,18:15:00,4.486,8.9,3.3,0.008
08/05/2019,18:20:00,4.55,8.8,3.3,0.008
08/05/2019,18:25:00,4.18,8.8,3,0.007
08/05/2019,18:30:00,5.095,8.7,3.9,0.011
08/05/2019,18:35:00,4.681,8.7,3.5,0.009
08/05/2019,18:40:00,4.641,8.7,3.4,0.008
08/05/2019,18:45:00,4.497,8.7,3.3,0.008
08/05/2019,18:50:00,4.708,8.6,3.5,0.009
08/05/2019,18:55:00,4.503,8.6,3.3,0.008
08/05/2019,19:00:00,4.797,8.5,3.6,0.01
08/05/2019,19:05:00,4.237,8.5,3,0.007
08/05/2019,19:10:00,4.346,8.4,3.1,0.007
08/05/2019,19:15:00,4.639,8.4,3.4,0.008
08/05/2019,19:20:00,4.496,8.3,3.3,0.008
08/05/2019,19:25:00,4.665,8.3,3.5,0.009
08/05/2019,19:30:00,5.227,8.3,4,0.012
08/05/2019,19:35:00,4.98,8.2,3.8,0.011
08/05/2019,19:40:00,4.881,8.2,3.7,0.01
08/05/2019,19:45:00,4.966,8.2,3.8,0.011
08/05/2019,19:50:00,4.906,8.1,3.7,0.01
08/05/2019,19:55:00,4.557,8.1,3.3,0.008
08/05/2019,20:00:00,4.56,8,3.4,0.008
08/05/2019,20:05:00,4.294,7.9,3.1,0.007
08/05/2019,20:10:00,4.549,7.9,3.3,0.008
08/05/2019,20:15:00,4.345,7.9,3.1,0.007
08/05/2019,20:20:00,5.011,7.8,3.8,0.011
08/05/2019,20:25:00,4.077,7.8,2.9,0.006
08/05/2019,20:30:00,4.391,7.7,3.2,0.007
08/05/2019,20:35:00,4.394,7.7,3.2,0.007
08/05/2019,20:40:00,4.649,7.6,3.4,0.008
08/05/2019,20:45:00,4.485,7.6,3.3,0.008
08/05/2019,20:50:00,4.945,7.6,3.7,0.01
08/05/2019,20:55:00,4.531,7.5,3.3,0.008
08/05/2019,21:00:00,4.43,7.5,3.2,0.007
08/05/2019,21:05:00,4.556,7.4,3.3,0.008
08/05/2019,21:10:00,4.414,7.5,3.2,0.007
08/05/2019,21:15:00,4.518,7.5,3.3,0.008
08/05/2019,21:20:00,4.953,7.5,3.8,0.011
08/05/2019,21:25:00,4.496,7.4,3.3,0.008
08/05/2019,21:30:00,4.85,7.4,3.6,0.01
08/05/2019,21:35:00,4.497,7.4,3.3,0.008
08/05/2019,21:40:00,4.455,7.5,3.2,0.007
08/05/2019,21:45:00,4.661,7.5,3.5,0.009
08/05/2019,21:50:00,4.287,7.5,3.1,0.007
08/05/2019,21:55:00,4.164,7.4,2.9,0.006
08/05/2019,22:00:00,4.395,7.4,3.2,0.007
08/05/2019,22:05:00,4.522,7.4,3.3,0.008
08/05/2019,22:10:00,4.339,7.3,3.1,0.007
08/05/2019,22:15:00,4.881,7.3,3.7,0.01
08/05/2019,22:20:00,4.033,7.2,2.8,0.006
08/05/2019,22:25:00,4.493,7.2,3.3,0.008
08/05/2019,22:30:00,4.122,7.2,2.9,0.006
08/05/2019,22:35:00,4.685,7.1,3.5,0.009
08/05/2019,22:40:00,4.25,7.1,3,0.007
08/05/2019,22:45:00,4.354,7.2,3.1,0.007
08/05/2019,22:50:00,4.332,7.2,3.1,0.007
08/05/2019,22:55:00,4.02,7.2,2.8,0.006
08/05/2019,23:00:00,4.083,7.1,2.9,0.006
08/05/2019,23:05:00,4.976,7.2,3.8,0.011
08/05/2019,23:10:00,4.749,7.1,3.5,0.009
08/05/2019,23:15:00,4.479,7.1,3.3,0.008
08/05/2019,23:20:00,4.668,7.1,3.5,0.009
08/05/2019,23:25:00,4.462,7.1,3.3,0.008
08/05/2019,23:30:00,4.11,7.1,2.9,0.006
08/05/2019,23:35:00,4.776,7.1,3.6,0.01
08/05/2019,23:40:00,4.675,7,3.5,0.009
08/05/2019,23:45:00,3.967,7,2.7,0.005
08/05/2019,23:50:00,4.237,7.1,3,0.007
08/05/2019,23:55:00,4.777,7,3.6,0.01
09/05/2019,00:00:00,4.713,7.1,3.5,0.009
09/05/2019,00:05:00,4.36,7.1,3.1,0.007
09/05/2019,00:10:00,4.838,7.1,3.6,0.01
09/05/2019,00:15:00,4.256,7.1,3,0.007
09/05/2019,00:20:00,4.11,7.1,2.9,0.006
09/05/2019,00:25:00,4.377,7.1,3.2,0.007
09/05/2019,00:30:00,4.21,7.1,3,0.007
09/05/2019,00:35:00,4.519,7.2,3.3,0.008
09/05/2019,00:40:00,4.414,7.2,3.2,0.007
09/05/2019,00:45:00,4.224,7.2,3,0.007
09/05/2019,00:50:00,4.451,7.2,3.2,0.007
09/05/2019,00:55:00,4.367,7.3,3.2,0.007
09/05/2019,01:00:00,4.176,7.3,3,0.007
09/05/2019,01:05:00,4.631,7.3,3.4,0.008
09/05/2019,01:10:00,4.11,7.3,2.9,0.006
09/05/2019,01:15:00,4.358,7.4,3.1,0.007
09/05/2019,01:20:00,4.796,7.3,3.6,0.01
09/05/2019,01:25:00,4.919,7.4,3.7,0.01
09/05/2019,01:30:00,4.629,7.3,3.4,0.008
09/05/2019,01:35:00,4.567,7.3,3.4,0.008
09/05/2019,01:40:00,4.983,7.3,3.8,0.011
09/05/2019,01:45:00,4.175,7.3,3,0.007
09/05/2019,01:50:00,4.383,7.3,3.2,0.007
09/05/2019,01:55:00,4.718,7.3,3.5,0.009
09/05/2019,02:00:00,4.406,7.3,3.2,0.007
09/05/2019,02:05:00,4.302,7.3,3.1,0.007
09/05/2019,02:10:00,4.158,7.3,2.9,0.006
09/05/2019,02:15:00,4.801,7.3,3.6,0.01
09/05/2019,02:20:00,4.736,7.3,3.5,0.009
09/05/2019,02:25:00,4.091,7.4,2.9,0.006
09/05/2019,02:30:00,4.754,7.4,3.5,0.009
09/05/2019,02:35:00,4.588,7.3,3.4,0.008
09/05/2019,02:40:00,4.381,7.3,3.2,0.007
09/05/2019,02:45:00,4.902,7.3,3.7,0.01
09/05/2019,02:50:00,4.445,7.3,3.2,0.007
09/05/2019,02:55:00,4.445,7.3,3.2,0.007
09/05/2019,03:00:00,4.006,7.3,2.8,0.006
09/05/2019,03:05:00,4.111,7.3,2.9,0.006
09/05/2019,03:10:00,3.987,7.3,2.8,0.006
09/05/2019,03:15:00,4.381,7.3,3.2,0.007
09/05/2019,03:20:00,4.278,7.3,3.1,0.007
09/05/2019,03:25:00,4.361,7.3,3.1,0.007
09/05/2019,03:30:00,4.487,7.3,3.3,0.008
09/05/2019,03:35:00,4.175,7.3,3,0.007
09/05/2019,03:40:00,4.386,7.3,3.2,0.007
09/05/2019,03:45:00,4.388,7.2,3.2,0.007
09/05/2019,03:50:00,4.702,7.2,3.5,0.009
09/05/2019,03:55:00,4.272,7.1,3.1,0.007
09/05/2019,04:00:00,4.69,7.1,3.5,0.009
09/05/2019,04:05:00,4.38,7.1,3.2,0.007
09/05/2019,04:10:00,4.38,7.1,3.2,0.007
09/05/2019,04:15:00,4.737,7,3.5,0.009
09/05/2019,04:20:00,4.366,6.9,3.2,0.007
09/05/2019,04:25:00,4.291,6.9,3.1,0.007
09/05/2019,04:30:00,4.502,6.8,3.3,0.008
09/05/2019,04:35:00,4.88,6.8,3.7,0.01
09/05/2019,04:40:00,4.552,6.7,3.3,0.008
09/05/2019,04:45:00,4.283,6.7,3.1,0.007
09/05/2019,04:50:00,4.495,6.6,3.3,0.008
09/05/2019,04:55:00,4.753,6.6,3.5,0.009
09/05/2019,05:00:00,4.564,6.6,3.4,0.008
09/05/2019,05:05:00,4.419,6.6,3.2,0.007
09/05/2019,05:10:00,5.266,6.6,4.1,0.012
09/05/2019,05:15:00,4.268,6.7,3.1,0.007
09/05/2019,05:20:00,5.222,6.7,4,0.012
09/05/2019,05:25:00,4.654,6.8,3.4,0.008
09/05/2019,05:30:00,4.984,6.8,3.8,0.011
09/05/2019,05:35:00,4.462,6.8,3.3,0.008
09/05/2019,05:40:00,4.898,6.8,3.7,0.01
09/05/2019,05:45:00,4.774,6.8,3.6,0.01
09/05/2019,05:50:00,4.252,6.8,3,0.007
09/05/2019,05:55:00,4.061,6.9,2.8,0.006
09/05/2019,06:00:00,4.016,7,2.8,0.006
09/05/2019,06:05:00,3.639,7,2.4,0.004
09/05/2019,06:10:00,3.676,7.1,2.4,0.004
09/05/2019,06:15:00,2.906,7.1,1.7,0.002
09/05/2019,06:20:00,2.792,7.2,1.5,0.002
09/05/2019,06:25:00,2.892,7.3,1.6,0.002
09/05/2019,06:30:00,2.807,7.3,1.6,0.002
09/05/2019,06:35:00,2.096,7.3,0.8,0
09/05/2019,06:40:00,2.302,7.4,1,0.001
09/05/2019,06:45:00,1.844,7.4,0.6,0
09/05/2019,06:50:00,1.757,7.4,0.5,0
09/05/2019,06:55:00,2.128,7.5,0.9,0.001
09/05/2019,07:00:00,1.191,7.5,-0.1,#VALUE!
09/05/2019,07:05:00,1.396,7.6,0.1,0
09/05/2019,07:10:00,0.832,7.6,-0.5,#VALUE!
09/05/2019,07:15:00,0.871,7.7,-0.4,#VALUE!
09/05/2019,07:20:00,0.678,7.7,-0.6,#VALUE!
09/05/2019,07:25:00,0.237,7.8,-1.1,#VALUE!
09/05/2019,07:30:00,-0.038,7.9,-1.3,#VALUE!
09/05/2019,07:35:00,-0.728,7.9,-2,#VALUE!
09/05/2019,07:40:00,-0.65,8.1,-2,#VALUE!
09/05/2019,07:45:00,0.05,8.1,-1.2,#VALUE!
09/05/2019,07:50:00,0.75,8.2,-0.5,#VALUE!
09/05/2019,07:55:00,2.041,8.1,0.8,0
09/05/2019,08:00:00,2.73,8,1.5,0.002
09/05/2019,08:05:00,4.377,7.9,3.2,0.007
09/05/2019,08:10:00,4.966,7.8,3.8,0.011
